id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
76,Villarreal CF,Villarreal,Villarreal CF,villarreal-cf,Spain,,1923,https://cdn.footystats.org/img/teams/spain-villarreal-cf.png,,2020/2021,,https://footystats.org/clubs/spain/villarreal-cf,,,2,2,100,Domestic League,4944,Villarreal CF,[],http://www.villarrealcf.es/en/
83,FC Barcelona,FC Barcelona,FC Barcelona,fc-barcelona,Spain,,1899,https://cdn.footystats.org/img/teams/spain-fc-barcelona.png,,2020/2021,,https://footystats.org/clubs/spain/fc-barcelona,,,8,8,86,Domestic League,4944,FC Barcelona,[],https://www.fcbarcelona.com/en/
84,Real Madrid CF,Real Madrid,Real Madrid CF,real-madrid-cf,Spain,,1902,https://cdn.footystats.org/img/teams/spain-real-madrid-cf.png,,2020/2021,,https://footystats.org/clubs/spain/real-madrid-cf,,,4,4,113,Domestic League,4944,Real Madrid CF,[],https://www.realmadrid.com/en
98,Sevilla FC,Sevilla FC,Sevilla FC,sevilla-fc,Spain,,1890,https://cdn.footystats.org/img/teams/spain-sevilla-fc.png,,2020/2021,,https://footystats.org/clubs/spain/sevilla-fc,,,13,13,57,Domestic League,4944,Sevilla FC,[],https://www.sevillafc.es/en
117,Club Atlético de Madrid,Atlético Madrid,Club Atletico de Madrid,club-atletico-de-madrid,Spain,,1903,https://cdn.footystats.org/img/teams/spain-club-atletico-de-madrid.png,,2020/2021,,https://footystats.org/clubs/spain/club-atletico-de-madrid,,,3,3,43,Domestic League,4944,Club Atlético de Madrid,[],http://en.atleticodemadrid.com/
277,Deportivo Alavés,Deportivo Alavés,Deportivo Alaves,deportivo-alaves,Spain,,1921,https://cdn.footystats.org/img/teams/spain-deportivo-alaves.png,,2020/2021,,https://footystats.org/clubs/spain/deportivo-alaves,,,15,15,33,Domestic League,4944,Deportivo Alavés,[],https://www.deportivoalaves.com/
279,SD Eibar,SD Eibar,SD Eibar,sd-eibar,Spain,,1940,https://cdn.footystats.org/img/teams/spain-sd-eibar.png,,2020/2021,,https://footystats.org/clubs/spain/sd-eibar,,,16,16,67,Domestic League,4944,SD Eibar,[],http://www.sdeibar.com/en
281,Real Club Celta de Vigo,Celta de Vigo,Real Club Celta de Vigo,real-club-celta-de-vigo,Spain,,1923,https://cdn.footystats.org/img/teams/spain-real-club-celta-de-vigo.png,,2020/2021,,https://footystats.org/clubs/spain/real-club-celta-de-vigo,,,18,18,56,Domestic League,4944,Real Club Celta de Vigo,[],http://www.rccelta.es/index.php/es/
282,Granada CF,Granada CF,Granada CF,granada-cf,Spain,,1931,https://cdn.footystats.org/img/teams/spain-granada-cf.png,,2020/2021,,https://footystats.org/clubs/spain/granada-cf,,,5,5,75,Domestic League,4944,Granada CF,[],https://www.granadacf.es/
284,Real Betis Balompié,Real Betis,Real Betis Balompie,real-betis-balompie,Spain,,1907,https://cdn.footystats.org/img/teams/spain-real-betis-balompie.png,,2020/2021,,https://footystats.org/clubs/spain/real-betis-balompie,,,7,7,78,Domestic League,4944,Real Betis Balompié,[],https://en.realbetisbalompie.es/
285,Athletic Club Bilbao,Athletic Club Bilbao,Athletic Club Bilbao,athletic-club-bilbao,Spain,,1898,https://cdn.footystats.org/img/teams/spain-athletic-club-bilbao.png,,2020/2021,,https://footystats.org/clubs/spain/athletic-club-bilbao,,,14,14,50,Domestic League,4944,Athletic Club Bilbao,[],https://www.athletic-club.eus/en/
287,CA Osasuna,CA Osasuna,CA Osasuna,ca-osasuna,Spain,,1920,https://cdn.footystats.org/img/teams/spain-ca-osasuna.png,,2020/2021,,https://footystats.org/clubs/spain/ca-osasuna,,,10,10,44,Domestic League,4944,CA Osasuna,[],https://www.osasuna.es/
288,Valencia CF,Valencia CF,Valencia CF,valencia-cf,Spain,,1919,https://cdn.footystats.org/img/teams/spain-valencia-cf.png,,2020/2021,,https://footystats.org/clubs/spain/valencia-cf,,,9,9,67,Domestic League,4944,Valencia CF,[],https://www.valenciacf.com/en
290,Real Sociedad de Fútbol,Real Sociedad,Real Sociedad de Futbol,real-sociedad-de-futbol,Spain,,1909,https://cdn.footystats.org/img/teams/spain-real-sociedad-de-futbol.png,,2020/2021,,https://footystats.org/clubs/spain/real-sociedad-de-futbol,,,1,1,67,Domestic League,4944,Real Sociedad de Fútbol,[],https://www.realsociedad.eus/
292,Levante UD,Levante UD,Levante UD,levante-ud,Spain,,1909,https://cdn.footystats.org/img/teams/spain-levante-ud.png,,2020/2021,,https://footystats.org/clubs/spain/levante-ud,,,19,19,50,Domestic League,4944,Levante UD,[],http://www.levanteud.com/es/
293,Getafe Club de Fútbol,Getafe CF,Getafe Club de Futbol,getafe-club-de-futbol,Spain,,1983,https://cdn.footystats.org/img/teams/spain-getafe-club-de-futbol.png,,2020/2021,,https://footystats.org/clubs/spain/getafe-club-de-futbol,,,11,11,63,Domestic League,4944,Getafe Club de Fútbol,[],https://www.getafecf.com/
295,Elche CF,Elche CF,Elche CF,elche-cf,Spain,,1923,https://cdn.footystats.org/img/teams/spain-elche-cf.png,,2020/2021,,https://footystats.org/clubs/spain/elche-cf,,,12,12,14,Domestic League,4944,Elche CF,[],https://www.elchecf.es/
297,Real Valladolid Club de Fútbol,Real Valladolid,Real Valladolid Club de Futbol,real-valladolid-club-de-futbol,Spain,,1928,https://cdn.footystats.org/img/teams/spain-real-valladolid-club-de-futbol.png,,2020/2021,,https://footystats.org/clubs/spain/real-valladolid-club-de-futbol,,,20,20,56,Domestic League,4944,Real Valladolid Club de Fútbol,[],https://www.realvalladolid.es/
301,SD Huesca,SD Huesca,SD Huesca,sd-huesca,Spain,,1922,https://cdn.footystats.org/img/teams/spain-sd-huesca.png,,2020/2021,,https://footystats.org/clubs/spain/sd-huesca,,,17,17,100,Domestic League,4944,SD Huesca,[],https://www.sdhuesca.es/
310,Cádiz CF,Cádiz,Cadiz CF,cadiz-cf,Spain,,1910,https://cdn.footystats.org/img/teams/spain-cadiz-cf.png,,2020/2021,,https://footystats.org/clubs/spain/cadiz-cf,,,6,6,33,Domestic League,4944,Cádiz CF,[],https://www.cadizcf.com/
