id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
76,Villarreal CF,Villarreal,Villarreal CF,villarreal-cf,Spain,,1923,https://cdn.footystats.org/img/teams/spain-villarreal-cf.png,,2017/2018,,https://footystats.org/clubs/spain/villarreal-cf,,,5,5,68,Domestic League,171,Villarreal CF,[],http://www.villarrealcf.es/en/
83,FC Barcelona,FC Barcelona,FC Barcelona,fc-barcelona,Spain,,1899,https://cdn.footystats.org/img/teams/spain-fc-barcelona.png,,2017/2018,,https://footystats.org/clubs/spain/fc-barcelona,,,1,1,92,Domestic League,171,FC Barcelona,[],https://www.fcbarcelona.com/en/
84,Real Madrid CF,Real Madrid,Real Madrid CF,real-madrid-cf,Spain,,1902,https://cdn.footystats.org/img/teams/spain-real-madrid-cf.png,,2017/2018,,https://footystats.org/clubs/spain/real-madrid-cf,,,3,3,124,Domestic League,171,Real Madrid CF,[],https://www.realmadrid.com/en
98,Sevilla FC,Sevilla FC,Sevilla FC,sevilla-fc,Spain,,1890,https://cdn.footystats.org/img/teams/spain-sevilla-fc.png,,2017/2018,,https://footystats.org/clubs/spain/sevilla-fc,,,7,7,76,Domestic League,171,Sevilla FC,[],https://www.sevillafc.es/en
117,Club Atlético de Madrid,Atlético Madrid,Club Atletico de Madrid,club-atletico-de-madrid,Spain,,1903,https://cdn.footystats.org/img/teams/spain-club-atletico-de-madrid.png,,2017/2018,,https://footystats.org/clubs/spain/club-atletico-de-madrid,,,2,2,42,Domestic League,171,Club Atlético de Madrid,[],http://en.atleticodemadrid.com/
276,UD Las Palmas,UD Las Palmas,UD Las Palmas,ud-las-palmas,Spain,,1949,https://cdn.footystats.org/img/teams/spain-ud-las-palmas.png,,2017/2018,,https://footystats.org/clubs/spain/ud-las-palmas,,,19,19,68,Domestic League,171,UD Las Palmas,[],https://www.udlaspalmas.es/en
277,Deportivo Alavés,Deportivo Alavés,Deportivo Alaves,deportivo-alaves,Spain,,1921,https://cdn.footystats.org/img/teams/spain-deportivo-alaves.png,,2017/2018,,https://footystats.org/clubs/spain/deportivo-alaves,,,14,14,50,Domestic League,171,Deportivo Alavés,[],https://www.deportivoalaves.com/
278,CD Leganés,Leganés,CD Leganes,cd-leganes,Spain,,1928,https://cdn.footystats.org/img/teams/spain-cd-leganes.png,,2017/2018,,https://footystats.org/clubs/spain/cd-leganes,,,17,17,45,Domestic League,171,CD Leganés,[],https://www.cdleganes.com/
279,SD Eibar,SD Eibar,SD Eibar,sd-eibar,Spain,,1940,https://cdn.footystats.org/img/teams/spain-sd-eibar.png,,2017/2018,,https://footystats.org/clubs/spain/sd-eibar,,,9,9,53,Domestic League,171,SD Eibar,[],http://www.sdeibar.com/en
280,Reial Club Deportiu Espanyol,RCD Espanyol,Reial Club Deportiu Espanyol,reial-club-deportiu-espanyol,Spain,,1900,https://cdn.footystats.org/img/teams/spain-reial-club-deportiu-espanyol.png,,2017/2018,,https://footystats.org/clubs/spain/reial-club-deportiu-espanyol,,,13,13,42,Domestic League,171,Reial Club Deportiu Espanyol,[],https://www.rcdespanyol.com/
281,Real Club Celta de Vigo,Celta de Vigo,Real Club Celta de Vigo,real-club-celta-de-vigo,Spain,,1923,https://cdn.footystats.org/img/teams/spain-real-club-celta-de-vigo.png,,2017/2018,,https://footystats.org/clubs/spain/real-club-celta-de-vigo,,,12,12,84,Domestic League,171,Real Club Celta de Vigo,[],http://www.rccelta.es/index.php/es/
283,Málaga CF,Málaga CF,Malaga CF,malaga-cf,Spain,,1948,https://cdn.footystats.org/img/teams/spain-malaga-cf.png,,2017/2018,,https://footystats.org/clubs/spain/malaga-cf,,,20,20,50,Domestic League,171,Málaga CF,[],https://www.malagacf.com/en
284,Real Betis Balompié,Real Betis,Real Betis Balompie,real-betis-balompie,Spain,,1907,https://cdn.footystats.org/img/teams/spain-real-betis-balompie.png,,2017/2018,,https://footystats.org/clubs/spain/real-betis-balompie,,,6,6,82,Domestic League,171,Real Betis Balompié,[],https://en.realbetisbalompie.es/
285,Athletic Club Bilbao,Athletic Club Bilbao,Athletic Club Bilbao,athletic-club-bilbao,Spain,,1898,https://cdn.footystats.org/img/teams/spain-athletic-club-bilbao.png,,2017/2018,,https://footystats.org/clubs/spain/athletic-club-bilbao,,,16,16,58,Domestic League,171,Athletic Club Bilbao,[],https://www.athletic-club.eus/en/
286,Real Club Deportivo de La Coruña,Deportivo La Coruña,Real Club Deportivo de La Coruna,real-club-deportivo-de-la-coruna,Spain,,1906,https://cdn.footystats.org/img/teams/spain-real-club-deportivo-de-la-coruna.png,,2017/2018,,https://footystats.org/clubs/spain/real-club-deportivo-de-la-coruna,,,18,18,87,Domestic League,171,Real Club Deportivo de La Coruña,[],https://www.rcdeportivo.es/en
288,Valencia CF,Valencia CF,Valencia CF,valencia-cf,Spain,,1919,https://cdn.footystats.org/img/teams/spain-valencia-cf.png,,2017/2018,,https://footystats.org/clubs/spain/valencia-cf,,,4,4,82,Domestic League,171,Valencia CF,[],https://www.valenciacf.com/en
290,Real Sociedad de Fútbol,Real Sociedad,Real Sociedad de Futbol,real-sociedad-de-futbol,Spain,,1909,https://cdn.footystats.org/img/teams/spain-real-sociedad-de-futbol.png,,2017/2018,,https://footystats.org/clubs/spain/real-sociedad-de-futbol,,,11,11,92,Domestic League,171,Real Sociedad de Fútbol,[],https://www.realsociedad.eus/
292,Levante UD,Levante UD,Levante UD,levante-ud,Spain,,1909,https://cdn.footystats.org/img/teams/spain-levante-ud.png,,2017/2018,,https://footystats.org/clubs/spain/levante-ud,,,15,15,68,Domestic League,171,Levante UD,[],http://www.levanteud.com/es/
293,Getafe Club de Fútbol,Getafe CF,Getafe Club de Futbol,getafe-club-de-futbol,Spain,,1983,https://cdn.footystats.org/img/teams/spain-getafe-club-de-futbol.png,,2017/2018,,https://footystats.org/clubs/spain/getafe-club-de-futbol,,,8,8,39,Domestic League,171,Getafe Club de Fútbol,[],https://www.getafecf.com/
312,Girona FC,Girona FC,Girona FC,girona-fc,Spain,,1930,https://cdn.footystats.org/img/teams/spain-girona-fc.png,,2017/2018,,https://footystats.org/clubs/spain/girona-fc,,,10,10,82,Domestic League,171,Girona FC,[],https://www.gironafc.cat/
