id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
1,Montreal Impact,Montreal Impact,Montreal Impact,montreal-impact,Canada,,2010,https://cdn.footystats.org/img/teams/canada-montreal-impact.png,,2013,,https://footystats.org/clubs/canada/montreal-impact,,,5,11,54,Domestic League,24,Montreal Impact,[],https://www.impactmontreal.com/en
4,New York Red Bulls,New York RB,New York Red Bulls,new-york-red-bulls,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-york-red-bulls.png,,2013,,https://footystats.org/clubs/usa/new-york-red-bulls,,,1,4,78,Domestic League,24,New York Red Bulls,[],https://www.newyorkredbulls.com
5,Vancouver Whitecaps FC,Vancouver Whitecaps,Vancouver Whitecaps FC,vancouver-whitecaps-fc,Canada,,1986,https://cdn.footystats.org/img/teams/canada-vancouver-whitecaps-fc.png,,2013,,https://footystats.org/clubs/canada/vancouver-whitecaps-fc,,,7,13,79,Domestic League,24,Vancouver Whitecaps FC,[],https://www.whitecapsfc.com/
6,Houston Dynamo,Houston Dynamo,Houston Dynamo,houston-dynamo,USA,,2005,https://cdn.footystats.org/img/teams/usa-houston-dynamo.png,,2013,,https://footystats.org/clubs/usa/houston-dynamo,,,4,5,56,Domestic League,24,Houston Dynamo,[],https://www.houstondynamo.com/
7,Chicago Fire,Chicago Fire,Chicago Fire,chicago-fire,USA,,1997,https://cdn.footystats.org/img/teams/usa-chicago-fire.png,,2013,,https://footystats.org/clubs/usa/chicago-fire,,,6,12,91,Domestic League,24,Chicago Fire,[],https://www.chicago-fire.com/
8,Sporting Kansas City,Sporting KC,Sporting Kansas City,sporting-kansas-city,USA,,1995,https://cdn.footystats.org/img/teams/usa-sporting-kansas-city.png,,2013,,https://footystats.org/clubs/usa/sporting-kansas-city,,,2,2,54,Domestic League,24,Sporting Kansas City,[],https://www.sportingkc.com/
9,Columbus Crew,Columbus Crew,Columbus Crew,columbus-crew,USA,,1996,https://cdn.footystats.org/img/teams/usa-columbus-crew.png,,2013,,https://footystats.org/clubs/usa/columbus-crew,,,8,16,62,Domestic League,24,Columbus Crew,[],https://www.columbuscrewsc.com/
10,LA Galaxy,LA Galaxy,LA Galaxy,la-galaxy,USA,,1995,https://cdn.footystats.org/img/teams/usa-la-galaxy.png,,2013,,https://footystats.org/clubs/usa/la-galaxy,,,3,6,58,Domestic League,24,LA Galaxy,['Los Angeles Galaxy'],https://www.lagalaxy.com/
11,New England Revolution,New England Revolution,New England Revolution,new-england-revolution,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-england-revolution.png,,2013,,https://footystats.org/clubs/usa/new-england-revolution,,,3,8,67,Domestic League,24,New England Revolution,[],https://www.revolutionsoccer.net/
12,Colorado Rapids,Colorado Rapids,Colorado Rapids,colorado-rapids,USA,,1996,https://cdn.footystats.org/img/teams/usa-colorado-rapids.png,,2013,,https://footystats.org/clubs/usa/colorado-rapids,,,5,9,71,Domestic League,24,Colorado Rapids,[],https://www.coloradorapids.com/
13,FC Dallas,FC Dallas,FC Dallas,fc-dallas,USA,,1996,https://cdn.footystats.org/img/teams/usa-fc-dallas.png,,2013,,https://footystats.org/clubs/usa/fc-dallas,,,8,15,100,Domestic League,24,FC Dallas,[],https://www.fcdallas.com/
