id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
59,Arsenal FC,Arsenal,Arsenal FC,arsenal-fc,England,,1886,https://cdn.footystats.org/img/teams/england-arsenal-fc.png,,2008/2009,,https://footystats.org/clubs/england/arsenal-fc,,,4,4,84,Domestic League,3131,Arsenal FC,[],https://www.arsenal.com/
92,Tottenham Hotspur FC,Tottenham Hotspur,Tottenham Hotspur FC,tottenham-hotspur-fc,England,,1882,https://cdn.footystats.org/img/teams/england-tottenham-hotspur-fc.png,,2008/2009,,https://footystats.org/clubs/england/tottenham-hotspur-fc,,,8,8,74,Domestic League,3131,Tottenham Hotspur FC,[],https://www.tottenhamhotspur.com/
93,Manchester City FC,Manchester City,Manchester City FC,manchester-city-fc,England,,1880,https://cdn.footystats.org/img/teams/england-manchester-city-fc.png,,2008/2009,,https://footystats.org/clubs/england/manchester-city-fc,,,10,10,82,Domestic League,3131,Manchester City FC,['Man City'],https://www.mancity.com/
141,Stoke City FC,Stoke City,Stoke City FC,stoke-city-fc,England,,1868,https://cdn.footystats.org/img/teams/england-stoke-city-fc.png,,2008/2009,,https://footystats.org/clubs/england/stoke-city-fc,,,12,12,79,Domestic League,3131,Stoke City FC,[],https://www.stokecityfc.com/
142,West Bromwich Albion FC,West Bromwich Albion,West Bromwich Albion FC,west-bromwich-albion-fc,England,,1878,https://cdn.footystats.org/img/teams/england-west-bromwich-albion-fc.png,,2008/2009,,https://footystats.org/clubs/england/west-bromwich-albion-fc,,,20,20,76,Domestic League,3131,West Bromwich Albion FC,['West Brom'],https://www.wba.co.uk/
144,Everton FC,Everton,Everton FC,everton-fc,England,,1878,https://cdn.footystats.org/img/teams/england-everton-fc.png,,2008/2009,,https://footystats.org/clubs/england/everton-fc,,,5,5,68,Domestic League,3131,Everton FC,[],https://www.evertonfc.com/
147,Middlesbrough FC,Middlesbrough,Middlesbrough FC,middlesbrough-fc,England,,1876,https://cdn.footystats.org/img/teams/england-middlesbrough-fc.png,,2008/2009,,https://footystats.org/clubs/england/middlesbrough-fc,,,19,19,68,Domestic League,3131,Middlesbrough FC,[],https://www.mfc.co.uk/
149,Manchester United FC,Manchester United,Manchester United FC,manchester-united-fc,England,,1878,https://cdn.footystats.org/img/teams/england-manchester-united-fc.png,,2008/2009,,https://footystats.org/clubs/england/manchester-united-fc,,,1,1,55,Domestic League,3131,Manchester United FC,['Man Utd'],https://www.manutd.com/
150,Hull City AFC,Hull City,Hull City AFC,hull-city-afc,England,,1904,https://cdn.footystats.org/img/teams/england-hull-city-afc.png,,2008/2009,,https://footystats.org/clubs/england/hull-city-afc,,,17,17,87,Domestic League,3131,Hull City AFC,[],https://www.hullcitytigers.com/
151,Liverpool FC,Liverpool,Liverpool FC,liverpool-fc,England,,1892,https://cdn.footystats.org/img/teams/england-liverpool-fc.png,,2008/2009,,https://footystats.org/clubs/england/liverpool-fc,,,2,2,79,Domestic League,3131,Liverpool FC,[],https://www.liverpoolfc.com/
