id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
59,Arsenal FC,Arsenal,Arsenal FC,arsenal-fc,England,,1886,https://cdn.footystats.org/img/teams/england-arsenal-fc.png,,2020/2021,,https://footystats.org/clubs/england/arsenal-fc,,,11,11,75,Domestic League,4759,Arsenal FC,[],https://www.arsenal.com/
92,Tottenham Hotspur FC,Tottenham Hotspur,Tottenham Hotspur FC,tottenham-hotspur-fc,England,,1882,https://cdn.footystats.org/img/teams/england-tottenham-hotspur-fc.png,,2020/2021,,https://footystats.org/clubs/england/tottenham-hotspur-fc,,,2,2,138,Domestic League,4759,Tottenham Hotspur FC,[],https://www.tottenhamhotspur.com/
93,Manchester City FC,Manchester City,Manchester City FC,manchester-city-fc,England,,1880,https://cdn.footystats.org/img/teams/england-manchester-city-fc.png,,2020/2021,,https://footystats.org/clubs/england/manchester-city-fc,,,10,10,71,Domestic League,4759,Manchester City FC,['Man City'],https://www.mancity.com/
108,Leicester City FC,Leicester City,Leicester City FC,leicester-city-fc,England,,1884,https://cdn.footystats.org/img/teams/england-leicester-city-fc.png,,2020/2021,,https://footystats.org/clubs/england/leicester-city-fc,,,1,1,63,Domestic League,4759,Leicester City FC,['Leicester'],https://www.lcfc.com/
142,West Bromwich Albion FC,West Bromwich Albion,West Bromwich Albion FC,west-bromwich-albion-fc,England,,1878,https://cdn.footystats.org/img/teams/england-west-bromwich-albion-fc.png,,2020/2021,,https://footystats.org/clubs/england/west-bromwich-albion-fc,,,18,18,88,Domestic League,4759,West Bromwich Albion FC,['West Brom'],https://www.wba.co.uk/
143,Crystal Palace FC,Crystal Palace,Crystal Palace FC,crystal-palace-fc,England,,1905,https://cdn.footystats.org/img/teams/england-crystal-palace-fc.png,,2020/2021,,https://footystats.org/clubs/england/crystal-palace-fc,,,8,8,75,Domestic League,4759,Crystal Palace FC,[],https://www.cpfc.co.uk/
144,Everton FC,Everton,Everton FC,everton-fc,England,,1878,https://cdn.footystats.org/img/teams/england-everton-fc.png,,2020/2021,,https://footystats.org/clubs/england/everton-fc,,,7,7,138,Domestic League,4759,Everton FC,[],https://www.evertonfc.com/
145,Burnley FC,Burnley,Burnley FC,burnley-fc,England,,1882,https://cdn.footystats.org/img/teams/england-burnley-fc.png,,2020/2021,,https://footystats.org/clubs/england/burnley-fc,,,19,19,43,Domestic League,4759,Burnley FC,[],https://www.burnleyfootballclub.com/
146,Southampton FC,Southampton,Southampton FC,southampton-fc,England,,1885,https://cdn.footystats.org/img/teams/england-southampton-fc.png,,2020/2021,,https://footystats.org/clubs/england/southampton-fc,,,4,4,63,Domestic League,4759,Southampton FC,[],https://www.southamptonfc.com/
149,Manchester United FC,Manchester United,Manchester United FC,manchester-united-fc,England,,1878,https://cdn.footystats.org/img/teams/england-manchester-united-fc.png,,2020/2021,,https://footystats.org/clubs/england/manchester-united-fc,,,14,14,114,Domestic League,4759,Manchester United FC,['Man Utd'],https://www.manutd.com/
