id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
59,Arsenal FC,Arsenal,Arsenal FC,arsenal-fc,England,,1886,https://cdn.footystats.org/img/teams/england-arsenal-fc.png,,2014/2015,,https://footystats.org/clubs/england/arsenal-fc,,,3,3,74,Domestic League,11,Arsenal FC,[],https://www.arsenal.com/
92,Tottenham Hotspur FC,Tottenham Hotspur,Tottenham Hotspur FC,tottenham-hotspur-fc,England,,1882,https://cdn.footystats.org/img/teams/england-tottenham-hotspur-fc.png,,2014/2015,,https://footystats.org/clubs/england/tottenham-hotspur-fc,,,5,5,76,Domestic League,11,Tottenham Hotspur FC,[],https://www.tottenhamhotspur.com/
93,Manchester City FC,Manchester City,Manchester City FC,manchester-city-fc,England,,1880,https://cdn.footystats.org/img/teams/england-manchester-city-fc.png,,2014/2015,,https://footystats.org/clubs/england/manchester-city-fc,,,2,2,87,Domestic League,11,Manchester City FC,['Man City'],https://www.mancity.com/
108,Leicester City FC,Leicester City,Leicester City FC,leicester-city-fc,England,,1884,https://cdn.footystats.org/img/teams/england-leicester-city-fc.png,,2014/2015,,https://footystats.org/clubs/england/leicester-city-fc,,,14,14,74,Domestic League,11,Leicester City FC,['Leicester'],https://www.lcfc.com/
141,Stoke City FC,Stoke City,Stoke City FC,stoke-city-fc,England,,1868,https://cdn.footystats.org/img/teams/england-stoke-city-fc.png,,2014/2015,,https://footystats.org/clubs/england/stoke-city-fc,,,9,9,55,Domestic League,11,Stoke City FC,[],https://www.stokecityfc.com/
142,West Bromwich Albion FC,West Bromwich Albion,West Bromwich Albion FC,west-bromwich-albion-fc,England,,1878,https://cdn.footystats.org/img/teams/england-west-bromwich-albion-fc.png,,2014/2015,,https://footystats.org/clubs/england/west-bromwich-albion-fc,,,13,13,42,Domestic League,11,West Bromwich Albion FC,['West Brom'],https://www.wba.co.uk/
143,Crystal Palace FC,Crystal Palace,Crystal Palace FC,crystal-palace-fc,England,,1905,https://cdn.footystats.org/img/teams/england-crystal-palace-fc.png,,2014/2015,,https://footystats.org/clubs/england/crystal-palace-fc,,,10,10,66,Domestic League,11,Crystal Palace FC,[],https://www.cpfc.co.uk/
144,Everton FC,Everton,Everton FC,everton-fc,England,,1878,https://cdn.footystats.org/img/teams/england-everton-fc.png,,2014/2015,,https://footystats.org/clubs/england/everton-fc,,,11,11,61,Domestic League,11,Everton FC,[],https://www.evertonfc.com/
145,Burnley FC,Burnley,Burnley FC,burnley-fc,England,,1882,https://cdn.footystats.org/img/teams/england-burnley-fc.png,,2014/2015,,https://footystats.org/clubs/england/burnley-fc,,,19,19,45,Domestic League,11,Burnley FC,[],https://www.burnleyfootballclub.com/
146,Southampton FC,Southampton,Southampton FC,southampton-fc,England,,1885,https://cdn.footystats.org/img/teams/england-southampton-fc.png,,2014/2015,,https://footystats.org/clubs/england/southampton-fc,,,7,7,55,Domestic League,11,Southampton FC,[],https://www.southamptonfc.com/
149,Manchester United FC,Manchester United,Manchester United FC,manchester-united-fc,England,,1878,https://cdn.footystats.org/img/teams/england-manchester-united-fc.png,,2014/2015,,https://footystats.org/clubs/england/manchester-united-fc,,,4,4,50,Domestic League,11,Manchester United FC,['Man Utd'],https://www.manutd.com/
150,Hull City AFC,Hull City,Hull City AFC,hull-city-afc,England,,1904,https://cdn.footystats.org/img/teams/england-hull-city-afc.png,,2014/2015,,https://footystats.org/clubs/england/hull-city-afc,,,18,18,37,Domestic League,11,Hull City AFC,[],https://www.hullcitytigers.com/
